Field1,Time,Content,Rating
"Laura of Palmdale., CA","Original review: Dec. 3, 2020",I love Ikea designs. I don't like that much that you have to put together the furniture. If you are going to sell me half of the job done ✅ you should charge me half of the price. And the delivery is on me too? What are these people doing? They have all profits no costs? Really? How we arrive to this place? I think everything is overpriced if you consider you are putting the furniture together. They only sell you the plans and the raw material. They don't even cover the cost of the delivery. And the furniture is not such a good quality to justify the price but yes I love the design. Another bad point for this chain at least where I've been that was somewhere in S.F Valley in L.A. inside a mall. It took us forever the line to pay. There was too many people not enough cashiers.,4.0
"Joyce of Bellmore, NY","Original review: Nov. 28, 2020","Most of our furniture is from Ikea and I assembled it also. I am a small lady and I felt great being able to assemble it myself! I love the different smooth finishes of the wood furniture, and the clean lines. They do not go out of style. I gave the rating a 4 star because I have not seen sofas that I like a lot. Our sofas are from another source. I also love that you can find so many uniquely good looking & practical small items for your home while you may be looking for furniture. They have it all: lighting, rugs, pictures, frames, pots (love them) & pans, etc. I particularly love the children's department. It's filled with very cute furniture & wonderful unique toys at a low price.",4.0
"Lucian of Windsor, ON","Original review: Nov. 27, 2020","Very practical furniture but not always for a long term perspective for usage. What I meant is that quality of the materials used in making it not so good. And I have to remark the ingenuity of the designers from IKEA. They are one of the best in the whole world and in the same time this is reflected into the price that it is kind of high for some of the items they sell. Very nice stores and very ""direct"" and they are not for the customer that comes just to ""browse"" because got bored with the furniture he already has. Clean and very shiny from the lights they used all around their furniture. Like they say, the better the looks the faster the sale!!!",4.0
"Jackie of North Haven, CT","Original review: Nov. 25, 2020","I use the one in New Haven, CT. It is very large and is fun to walk around. I don't typically buy any of the food from the dining area but I have bought food from here before. Some of my favorite pieces of furniture have been from IKEA. I'm not crazy about their couches, though or mattresses. I have bought bed frames, bedside tables, dressers and plenty of other household items from here. I absolutely LOVE assembling their products and I have never had any issues. Anything I have bought from here has lasted me forever.",5.0
"Giedrius of Brooklyn, NY","Original review: Nov. 24, 2020","I love that Ikea creating displays looking like real living places. I think it's genius idea, instead just slopping furniture in huge showroom. What Ikea does, it makes these cozy living like nooks, that looks like real living space. That allows me to see actual size of the furniture. I had bought sofa- bed at Raymour and Flanigan Outlet probably 7 years ago, in showroom it looked normal size, but when it got delivered, it looked to bulky in my living-room. Yes, measuring will help, but visual display the way Ikea does, very helpful as well. Just do not go to Ikea on weekends, it's a zoo.",4.0
"fff of Brooklyn, NY","Original review: Oct. 28, 2021",Terrible customer service. They don’t give you refund. All they do just tell you wait wait wait. NEVER NEVER SHOP with Ikea online. Paid $70 for delivery and ended up still need to travel 1 hours to pick up the hardwares they missed to send!!!! Wasted my whole 1 month time and never solve any problem.,1.0
"cecilia of West Berlin, NJ","Original review: Oct. 23, 2021","I had a horrible customer service experience with IKEA. I ordered the MALM dresser which was shipped to my house (I paid for delivery of the item). Once received I realized that one of the boxes including the parts to put the dresser together was a duplicate box, meaning there are 3 boxes (of parts) for the dresser #1, 2, & 3. I received 1,1,3 no #2 box. Basically Ikea sent me the wrong box of parts. I called their customer service line and spoke to Miranda and her supervisor Sherron, who informed that even though IKEA made the mistake, that I would have to personally drive to an IKEA store to return the item or get the correct box of parts. ",1.0
"A. of Cape Coral, FL","Original review: Oct. 21, 2021","I filed a complaint with the BBB. The day AFTER I filed the complaint, they finally issued the refund. I should never have had to jump through such hoops to get assistance. Here's the complaint: IKEA refuses to refund 4 items I returned as per THEIR return instructions via FedEx. I can prove the items shipped (see attachments). I called twice and spent numerous hours trying to reason with IKEA, but they were of no assistance and told me to contact FedEx. I wasted more time contacting FedEx, but of course, they denied the claim, because IKEA has an agreement to not file claims (also attached). It is APPALLING that a company like IKEA treats customers with such disrespect. They obviously know that I could NEVER recoup the refund for the returned items through FedEx. I have wasted several hours for absolutely nothing! I generally love IKEA products, but their customer service has been terrible.",1.0
"Maria of Elizabeth, NJ","Original review: Oct. 9, 2021","I purchased a Cylinder Glass Vase from IKEA & it arrived to my home TOTALLY SHATTERED. First of all, there was absolutely NOTHING on the box to indicate the contents are ""FRAGILE"". Second, the glass vase WAS PACKED WITHOUT ANY TYPE OF PROTECTIVE MATERIAL to protect the vase from being damaged while being handled & while in transit. There was only ONE PIECE OF SHRIVELED UP BROWN PAPER in the packing box. The vase was just placed in one box & then packed in ANOTHER box with one piece of shriveled up brown paper, NO protective material & sealed with ONE WEAK PIECE OF TAPE. How STUPID to pack a GLASS VASE like this??? IKEA obviously didn't give ONE DAMN if my item got damaged. Of course I'm going for a REFUND, but you can believe this will be THE VERY LAST TIME I purchase anything from IKEA.",1.0
"Blue of Dubai, Other","Original review: Oct. 6, 2021","There is a reason why Ikea asks e-mail address right? So if a sales person got the phone number wrong- ikea can still reach me out, right?!! Well, apparently people with no initiative work there- TERRIBLE.",1.0
"Denise of Alexandria, VA","Original review: Oct. 6, 2021","My kitchen project cost 6000 and the main reason I used IKEA was to use the financing credit card. They provided good service helping me design the kitchen but as soon as that part os over the nightmare began. I needed a 5 thousand purchase to fall in the 24 months bracket and my first order was 4920.00. This is because they failed to tell me that I would not find everything on the first day I ordered. I had to place about 8 other orders to get everything and go from store to store (VA and MD) picking up stuff plus a few Fedex stores to get the parts and not pay $50 for each delivery or because some parts could not be delivered for whatever reason. Not even store pickup was available because the ""stock was low"". So I had to travel from these 2 stores as quickly as possible before anyone got there??!!... There is no help after you buy. ",1.0
"Kevin of Rochester, MN","Original review: Sept. 26, 2021","I traveled 3 hours to buy HEMNES Daybed. Began assembling at home, only to realize that at least 20 screws were missing. I need the bed for company - THIS WEEK. No hardware store carries the unique screws. So, I called IKEA. As if they’re doing me a favor, the rep says, “we’d be happy to send those to you” and went on to tell me that “it will take 7-10 days”!!!! I spent $800 at that store yesterday and am at a complete standstill because the sorry packing process omitted critically important screws. They should have sent them to me (and others who have experienced this) overnight. ",1.0
"Ravi of Hyderabad, Other","Original review: Sept. 23, 2021","Avoid IKEA, especially if you are going for Kitchens & Kitchen Appliances. Any after-sales service is pathetic...It has been two weeks & still there is no resolution to my issue. The IKEA call center will listen to your concern & promise to get back within 24 hours and nothing happens. To potential Kitchen customers: I would recommend the IKEA kitchen designs but would not recommend the IKEA Kitchen & Kitchen appliances as the after-sales support is limited (& you would need that after a year with any kitchen). To any IKEA employees: My order number is **; just so you know that I am a genuine & dissatisfied customer.",1.0
"Daisy of Palm Bay, FL","Original review: Sept. 8, 2021","I ordered and paid on 8/8/21 a children kitchen set, the pots, pans, food and more for my granddaughter's 1st birthday, an email confirm the delivery will be same day as her birthday 8/21/21, it never arrived, I was the only person without a birthday gift. Felt awful, 4 calls. No credit and no product. And today is 9/8/2021.",1.0
"Amit of Pune, Other","Original review: Aug. 26, 2021","We purchased some furniture, and Ikea store in Mumbai forgot to give the screws and other things needed to assemble it. We have been following up with them for a very long time but in vain, All they say is ""We'll get back to you"". Our installations are pending for over 10 days since we bought the product and still no resolution. Is this a good service? Horrible experience.",1.0
"Megs of Clarita, OK","Original review: Aug. 24, 2021","Spent hours to order items; NOT a single one (all full price) was available...anywhere in Canada. Had preset shopping on local address, etc., Now, with each item, I go through process of ""checkout,"" have to total, enter postal code, choose ""pick up"", wait for tally, then find out if item is actually available. Not 1 item available of 9!!!! PrOCeSS TOOK 30 minutes. I think IKEA is suckering in buyers with stuff it doesn't have and should be investigated for fraudulent representation.",1.0
"Sujay of Mumbai, Other","Original review: Aug. 24, 2021","A real bad experience. Zero transparency. Zero accountability. Zero assistance. If you're (IKEA) trying to copy Amazon with respect to delivery, at least have a track of where the product is and when it will be delivered. Fooling the customer by changing and delaying delivery date (3 days, 5 days then 20 days) repeatedly. Only a ""helpline"" number whose receiver can do nothing but say ""We are very Sorry Sir"". The staff at the shop are uninitiated people who can't even give details about the delivery process.",1.0
