Name,Date,Content,Rating
"Drew of Memphis, TN","Original review: Sept. 21, 2021","I recently placed a large order with West Elm, including a few large rugs. I received a shipment delivered email for one rug, but no rug. Once I checked the tracking from UPS, I could see that UPS reported the package as damaged during transit, and returned it to West Elm's warehouse where it was signed for as delivered, not my residence. No one from West Elm contacted me or otherwise seemed to notice my rug was delivered back to them for a week before I contacted them. I waited on hold for a long time and eventually spoke to a nice man named Chris who apologized. Chris assured me another rug would be sent. He even gave me a confirmation number. No rug was sent. After another 3 weeks, I decided to chargeback the cost of the rug and buy elsewhere rather than go through West Elm customer service again.",1.0
"Dennis of Gates Mills, OH","Original review: Sept. 20, 2021","Ordered $3900 in furniture-- similar story as others -- sent to the wrong hub in a wrong state waited at home for the delivery-- no show-- furniture wasn't even in the right state. Been over 5 weeks and still getting told it's not at the ""HUB"" -- no phone numbers for any general managers or anyone in charge.... Still no furniture and no one can say exactly where the furniture is.",1.0
"Malcolm of Severna Park, MD","Resolution response: Oct. 16, 2021",Through a series of unfortunate events this was finally taken care of and we have been compensated and have the furniture intact. There were missing pieces and upon initial delivery the sofa was shipped with 2 left arms. That took another month to correct. Highly recommend West Elm devise a process that validates pieces are shipped accurately and those that continue to delay to ship a person actually look into why. We waited 3 months initially before I got angry and turns out the furniture was delayed just because of an unnecessary mattress that goes into the pullout drawer. West Elm was unaware of why it was delayed until I called numerous times.,1.0
"Andrew of Minneapolis, MN","Original review: Sept. 16, 2021","Worst delivery experience I've ever had. Delivery was a complete mess and my item never arrived. Waited over three months and spent hours on the phone with West Elm and their delivery service Ryder. They could not fix the issue and every time they said it was scheduled for delivery I would get a last minute cancellation with no explanation or follow up from anyone. Don't waste your time, over priced furniture that never arrives is worse than worthless. Would give zero stars if possible.",1.0
"Y of Lafayette, CA","Original review: Sept. 15, 2021","Ordered a coffee table that arrived damaged. The credit they offered was minimal compared to the table one would expect when you pay nearly $600 for a table plus shipping. Clearly they have no accountability for delivering high quality products and are OK with delivering damaged ones. They “offered” I send it back for a refund but the time required and pain of disassembling and sending it back is something they obviously know one wouldn’t do. On top of that the credit they send you is delivered via USPS, delaying things even further. This is terrible customer service, poor quality control, and an archaic way of doing business. Many other options with much better customer service out there. A truly disappointing experience given this is the second large purchase I made from them that arrived damaged. I’d never buy furniture from them again and really suggest you look elsewhere as well.",1.0
"Amy of Coeur D Alene, ID","Original review: Sept. 14, 2021","I am finally writing this review after not just one, but multiple terrible experiences with ordering from West Elm (as well as from sister company, Pottery Barn). Both companies offer beautiful goods, however the sales tactics will prevent me from EVER ordering from West Elm again. West Elm will list an item as “in stock”—-do not believe it. The last THREE items I ordered (an area rug, mirrors and a vase) all said “in stock” and/or had a very near delivery date, so I placed the orders. West Elm then simply does not deliver, provides NO email updates, necessitating that the customer call and wait on hold to inquire about the order. Automated delivery dates are provided which mean nothing. After many years of being a dedicated customer, I am closing my account. The frustration is not worth dealing with this company or its sister companies.",1.0
"Joan of Burbank, CA","Original review: Sept. 7, 2021","The look of West Elm's furniture is beautiful. And for the price of their products, I was expecting good to high quality. Unfortunately, this is not the case. I purchased a Streamline Coffee Table. It took months to come in, but I wasn't upset about that due to several companies having inventory issues since Covid started. But when the table arrived, the light-colored, wood top was nicked, scratched and had a black mark on it. I called to have the top replaced. They said no problem, and they would pick up the old top and bring a new one in 3-4 weeks. I waited and waited and come 6 weeks later, I still didn't hear anything. So, I call again, and they said it was ready, and they just need to schedule the delivery. I told them I never received any notification that the replacement was ready to be delivered, and the lady got snippy with me and gave me some excuse I didn't understand. But in the end, we scheduled a day for the exchange.",1.0
"Ashley of Madison Heights, MI","Original review: Sept. 7, 2021","Do not order custom couches from here! They “run out” of fabric and don’t update their website. We waited 5 months for this couch, it came with a defective cushion so we placed an order for a replacement cushion… The Moss color fabric “ran out” so we did a full couch replacement in Petrol and the supplier I emailed said she put in a new order. I looked it up on the West Elm website and it showed up. That fabric supposedly “ran out” too so they CANCELLED IT without telling me. I would’ve been waiting for weeks for a couch that doesn’t exist. They said our only option was to place a new order (and pay $3000) for a new couch instead of replacing the one ($2000) they sent to us messed up. We ordered this back in March when they had their sale, BIG MISTAKE. Going to just see if an upholsterer can fix their shoddy work. We just wanted a new cushion!!!",1.0
"Amanda of Arlington, VA","Original review: Sept. 7, 2021",The Frame extension table is an absolute nightmare to insert and remove the extension leaf. It is not fit for purpose. We purchased with the idea of using as a  four person table day to day and then extending as need. This is so difficult. You need two people and you have to remove hardware each time. It is the most impractical table. I guess that’s why the store display is fully set for dinner so you can’t test in shop. White glove people installed at the expanded length screws it all in and left without showing us how to reduce and took the hardware with them.,1.0
"Craig of Granada Hills, CA","Original review: Sept. 7, 2021",Updated on 09/27/2021: West Elm ​responded that my leather sofa that is fraying at the seams is past their warranty and I have to repair it at my own expense. Offered 30% off future purchase. I have IKEA furniture that held up better,1.0
